developer,publisher,igdb_popularity,price,num_games
Choice of Games,Choice of Games,1.1347619047619046,3.7455555555555557,94.0
"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",2.936938775510204,30.012857142857143,69.0
Ripknot Systems,Ripknot Systems,1.0295454545454545,10.671818181818182,62.0
"Nikita ""Ghost_RUS""",Ghost_RUS Games,1.1172727272727272,1.0536363636363637,50.0
Laush Dmitriy Sergeevich,Laush Studio,1.067,2.52,47.0
